Date,Level (m),Level_change (cm),Surface_water_temperature (Celcius),Air_temperature_low (Celcius),Air_temperature_high (Celcius),Code,Bridge_clearance (m),,,,,,,,,
2008-01-01,345.486,-0.6,5.6,-4.9,0.7,ccc,7.032,,,,,,,,,
2008-01-02,345.477,-0.9,5,-0.7,5.3,ccc,7.041,,,,,,,,,
2008-01-03,345.467,-1,5,-1.3,2.1,ccx,7.051,,,,,,,,,
2008-01-04,345.455,-1.2,5,0.7,5,ccr,7.063,,,,,,,,,
2008-01-05,345.442,-1.3,5,0.7,6.7,ccr,7.076,,,,,,,,,
2008-01-06,345.426,-1.6,5,-0.1,5.9,ssc,7.092,,,,,,,,,
2008-01-07,345.413,-1.3,5,-2.3,3.1,ssc,7.105,,,,,,,,,
2008-01-08,345.408,-0.5,5,-1.2,1.5,ccx,7.11,,,,,,,,,
2008-01-09,345.401,-0.7,4.4,-0.5,3.7,ccx,7.117,,,,,,,,,
2008-01-10,345.393,-0.8,4.4,-0.3,3.3,cxx,7.125,,,,,,,,,
2008-01-11,345.388,-0.5,4.4,1.3,4.3,ccx,7.13,,,,,,,,,
2008-01-12,345.382,-0.6,4.4,1.7,4.9,ccx,7.136,,,,,,,,,
2008-01-13,345.374,-0.8,4.4,1.7,5.1,ccc,7.144,,,,,,,,,
2008-01-14,345.368,-0.6,4.4,-0.3,4.9,crx,7.15,,,,,,,,,
2008-01-15,345.359,-0.9,4.4,-7.7,1.9,ccr,7.159,,,,,,,,,
2008-01-16,345.351,-0.8,3.9,-6.1,8.5,crx,7.167,,,,,,,,,
2008-01-17,345.342,-0.9,3.9,-4.9,9.3,ccc,7.176,,,,,,,,,
2008-01-18,345.334,-0.8,3.9,-4.6,8.2,ccx,7.184,,,,,,,,,
2008-01-19,345.321,-1.3,3.9,-0.9,3.5,cxx,7.197,,,,,,,,,
2008-01-20,345.317,-0.4,3.9,-9.9,2.8,ssc,7.201,,,,,,,,,
2008-01-21,345.314,-0.3,3.9,-11.7,-2.1,ssc,7.204,,,,,,,,,
2008-01-22,345.312,-0.2,3.9,-11,5.6,ssc,7.206,,,,,,,,,
2008-01-23,345.309,-0.3,3.9,-11.2,4.6,ssc,7.209,,,,,,,,,
2008-01-24,345.305,-0.4,3.9,-12.3,5.7,ssc,7.213,,,,,,,,,
2008-01-25,345.301,-0.4,3.9,-10.9,6.2,ssc,7.217,,,,,,,,,
2008-01-26,345.294,-0.7,3.9,-6.2,-0.5,scc,7.224,,,,,,,,,
2008-01-27,345.286,-0.8,3.9,-7.7,2.6,ccx,7.232,,,,,,,,,
2008-01-28,345.279,-0.7,3.3,-12.5,-4.9,ccx,7.239,,,,,,,,,
2008-01-29,345.271,-0.8,3.3,-13,2.6,xxx,7.247,,,,,,,,,
2008-01-30,345.262,-0.9,3.3,-10.2,4.7,scx,7.256,,,,,,,,,
2008-01-31,345.253,-0.9,3.3,-6,5.1,cxx,7.265,,,,,,,,,
2008-02-01,345.245,-0.8,3.3,-2.9,2.7,ccc,7.273,,,,,,,,,
2008-02-02,345.239,-0.6,3.3,-2.4,3.6,ccx,7.279,,,,,,,,,
2008-02-03,345.232,-0.7,3.3,-6.9,3.5,ssc,7.286,,,,,,,,,
2008-02-04,345.223,-0.9,3.3,-8.5,8.4,ccx,7.295,,,,,,,,,
2008-02-05,345.215,-0.8,3.3,-4.4,1.5,cxx,7.303,,,,,,,,,
2008-02-06,345.208,-0.7,3.3,-5.5,3.1,scx,7.31,,,,,,,,,
2008-02-07,345.201,-0.7,3.3,0.5,9.9,ccx,7.317,,,,,,,,,
2008-02-08,345.195,-0.6,3.3,0.6,6.4,crx,7.323,,,,,,,,,
2008-02-09,345.189,-0.6,3.3,-1.1,3,ccx,7.329,,,,,,,,,
2008-02-10,345.182,-0.7,3.3,-0.5,5.1,scx,7.336,,,,,,,,,
2008-02-11,345.174,-0.8,3.3,-0.1,5.2,crx,7.344,,,,,,,,,
2008-02-12,345.167,-0.7,3.3,1.1,4.7,ccr,7.351,,,,,,,,,
2008-02-13,345.161,-0.6,3.3,0.2,7.1,scc,7.357,,,,,,,,,
2008-02-14,345.156,-0.5,3.3,0.3,7.2,ssc,7.362,,,,,,,,,
2008-02-15,345.151,-0.5,3.3,0.9,4.3,crx,7.367,,,,,,,,,
2008-02-16,345.145,-0.6,3.3,-0.3,7.5,ssc,7.373,,,,,,,,,
2008-02-17,345.139,-0.6,3.3,-1.1,5.3,ssc,7.379,,,,,,,,,
2008-02-18,345.134,-0.5,2.2,-4.5,5.3,ssc,7.384,,,,,,,,,
2008-02-19,345.13,-0.4,2.2,-5.4,12.9,sss,7.388,,,,,,,,,
2008-02-20,345.125,-0.5,2.2,-4.2,4.9,sss,7.393,,,,,,,,,
2008-02-21,345.121,-0.4,2.2,-3.3,8.4,sss,7.397,,,,,,,,,
2008-02-22,345.116,-0.5,2.2,-3.6,7.3,scc,7.402,,,,,,,,,
2008-02-23,345.112,-0.4,2.2,-0.5,7.4,ccr,7.406,,,,,,,,,
2008-02-24,345.109,-0.3,2.2,-0.8,5.1,ssc,7.409,,,,,,,,,
2008-02-25,345.107,-0.2,2.2,-0.3,7.5,ssc,7.411,,,,,,,,,
2008-02-26,345.103,-0.4,2.2,0.1,8.1,ssc,7.415,,,,,,,,,
2008-02-27,345.101,-0.2,2.2,2.7,7.9,scr,7.417,,,,,,,,,
2008-02-28,345.099,-0.2,2.2,1.5,9.1,scc,7.419,,,,,,,,,
2008-02-29,345.097,-0.2,2.2,1.2,9.1,ssc,7.421,,,,,,,,,
2008-03-01,345.094,-0.3,2.2,1.3,11.1,ssc,7.424,,,,,,,,,
2008-03-02,345.093,-0.1,2.2,-1.1,13.7,scc,7.425,,,,,,,,,
2008-03-03,345.091,-0.2,2.2,2.1,10.3,crx,7.427,,,,,,,,,
2008-03-04,345.088,-0.3,2.2,0.1,8.3,ssc,7.43,,,,,,,,,
2008-03-05,345.085,-0.3,2.2,-2.7,7.5,ssc,7.433,,,,,,,,,
2008-03-06,345.082,-0.3,2.2,-2.1,8.2,ssc,7.436,,,,,,,,,
2008-03-07,345.078,-0.4,2.2,-2.5,10.9,ssc,7.44,,,,,,,,,
2008-03-08,345.081,0.3,2.2,0.6,10.5,scc,7.437,,,,,,,,,
2008-03-09,345.087,0.6,2.2,0.8,6.9,ccc,7.431,,,,,,,,,
2008-03-10,345.094,0.7,2.2,2.3,7.1,crr,7.424,,,,,,,,,
2008-03-11,345.096,0.2,2.8,2.7,9.1,scc,7.422,,,,,,,,,
2008-03-12,345.094,-0.2,2.8,1.2,11.9,ssc,7.424,,,,,,,,,
2008-03-13,345.095,0.1,2.2,-1.4,9.7,ssc,7.423,,,,,,,,,
2008-03-14,345.096,0.1,2.2,0.9,9.5,scr,7.422,,,,,,,,,
2008-03-15,345.099,0.3,2.2,0.6,10.9,scr,7.419,,,,,,,,,
2008-03-16,345.105,0.6,2.2,0.6,13.8,ssc,7.413,,,,,,,,,
2008-03-17,345.112,0.7,2.2,0.7,12.5,scc,7.406,,,,,,,,,
2008-03-18,345.114,0.2,2.2,2.9,10.1,ssc,7.404,,,,,,,,,
2008-03-19,345.115,0.1,2.2,0.3,13.9,ssc,7.403,,,,,,,,,
2008-03-20,345.116,0.1,2.2,2.9,12.1,scx,7.402,,,,,,,,,
2008-03-21,345.117,0.1,2.2,3.2,12.3,scr,7.401,,,,,,,,,
2008-03-22,345.118,0.1,2.8,-0.5,13.8,ssc,7.4,,,,,,,,,
2008-03-23,345.117,-0.1,3.3,2.7,9.1,ccr,7.401,,,,,,,,,
2008-03-24,345.119,0.2,5,0.4,15.5,ssc,7.399,,,,,,,,,
2008-03-25,345.118,-0.1,5,-0.8,14.8,sss,7.4,,,,,,,,,
2008-03-26,345.117,-0.1,5,1.1,9.3,scx,7.401,,,,,,,,,
2008-03-27,345.119,0.2,5,0.5,14.3,scr,7.399,,,,,,,,,
2008-03-28,345.122,0.3,5,-1.1,11,scc,7.396,,,,,,,,,
2008-03-29,345.119,-0.3,5,-1.5,12.3,ssc,7.399,,,,,,,,,
2008-03-30,345.116,-0.3,5.6,-2.3,14.5,ssc,7.402,,,,,,,,,
2008-03-31,345.112,-0.4,5.6,0.7,12.7,scx,7.406,,,,,,,,,
2008-04-01,345.111,-0.1,5.6,-1,10.7,ssc,7.407,,,,,,,,,
2008-04-02,345.111,0,5.6,0.3,12.7,ssc,7.407,,,,,,,,,
2008-04-03,345.108,-0.3,5.6,0.1,15.1,ssc,7.41,,,,,,,,,
2008-04-04,345.103,-0.5,5.6,1.9,15.1,scc,7.415,,,,,,,,,
2008-04-05,345.098,-0.5,5.6,2.3,14,scc,7.42,,,,,,,,,
2008-04-06,345.095,-0.3,5.6,4.5,15.2,scc,7.423,,,,,,,,,
2008-04-07,345.093,-0.2,6.1,0.5,15.1,ssc,7.425,,,,,,,,,
2008-04-08,345.093,0,6.1,2.3,16.7,scr,7.425,,,,,,,,,
2008-04-09,345.094,0.1,6.1,4.3,15.3,ccr,7.424,,,,,,,,,
2008-04-10,345.097,0.3,6.1,2.5,15.1,ssc,7.421,,,,,,,,,
2008-04-11,345.099,0.2,6.1,3.2,15.5,ssc,7.419,,,,,,,,,
2008-04-12,345.104,0.5,6.7,3,19.7,ssc,7.414,,,,,,,,,
2008-04-13,345.112,0.8,6.7,3.8,15.7,ccr,7.406,,,,,,,,,
2008-04-14,345.128,1.6,6.7,6.2,16.7,ssc,7.39,,,,,,,,,
2008-04-15,345.149,2.1,6.7,6,15.9,scc,7.369,,,,,,,,,
2008-04-16,345.169,2,6.7,3.3,13.1,scc,7.349,,,,,,,,,
2008-04-17,345.185,1.6,7.2,3.3,18.3,ssc,7.333,,,,,,,,,
2008-04-18,345.199,1.4,7.2,4.1,11.5,crx,7.319,,,,,,,,,
2008-04-19,345.213,1.4,7.2,0.1,5.5,xxx,7.305,,,,,,,,,
2008-04-20,345.226,1.3,7.2,0.1,8,scc,7.292,,,,,,,,,
2008-04-21,345.238,1.2,7.2,-2.2,13.5,ssc,7.28,,,,,,,,,
2008-04-22,345.24,0.2,7.8,0.6,10.9,ssc,7.278,,,,,,,,,
2008-04-23,345.236,-0.4,7.8,-2,14.9,scc,7.282,,,,,,,,,
2008-04-24,345.241,0.5,7.8,4.2,12.2,scr,7.277,,,,,,,,,
2008-04-25,345.251,1,7.8,4.7,15.1,ssc,7.267,,,,,,,,,
2008-04-26,345.259,0.8,7.8,0.9,20.2,ssc,7.259,,,,,,,,,
2008-04-27,345.275,1.6,7.8,6.7,18.3,scx,7.243,,,,,,,,,
2008-04-28,345.293,1.8,7.8,7.1,19.8,crr,7.225,,,,,,,,,
2008-04-29,345.297,0.4,7.8,5.4,16.8,scr,7.221,,,,,,,,,
2008-04-30,345.347,5,8.3,5.2,18.3,scr,7.171,,,,,,,,,
2008-05-01,345.378,3.1,8.3,6.6,19.3,ssc,7.14,,,,,,,,,
2008-05-02,345.394,1.6,8.3,3.1,20.7,ssc,7.124,,,,,,,,,
2008-05-03,345.416,2.2,8.3,7.2,19.3,ssc,7.102,,,,,,,,,
2008-05-04,345.441,2.5,8.3,4.3,22,sss,7.077,,,,,,,,,
2008-05-05,345.477,3.6,8.3,9.4,21,ssc,7.041,,,,,,,,,
2008-05-06,345.526,4.9,8.9,6.9,21.5,ssc,6.992,,,,,,,,,
2008-05-07,345.589,6.3,8.9,5.9,14.3,crr,6.929,,,,,,,,,
2008-05-08,345.643,5.4,8.9,4.3,15.9,scc,6.875,,,,,,,,,
2008-05-09,345.687,4.4,8.9,2.7,21.7,ssc,6.831,,,,,,,,,
2008-05-10,345.729,4.2,8.9,8.7,15.9,scr,6.789,,,,,,,,,
2008-05-11,345.774,4.5,8.9,8.6,15.3,scr,6.744,,,,,,,,,
2008-05-12,345.838,6.4,8.9,8.4,21.3,ssc,6.68,,,,,,,,,
2008-05-13,345.899,6.1,9.4,8.4,15.1,scr,6.619,,,,,,,,,
2008-05-14,345.963,6.4,9.4,9.1,18.9,scc,6.555,,,,,,,,,
2008-05-15,346.021,5.8,9.4,7.9,28.1,ssc,6.497,,,,,,,,,
2008-05-16,346.106,8.5,9.4,10.7,30,sss,6.412,,,,,,,,,
2008-05-17,346.251,14.5,9.4,14.1,31.9,ssc,6.267,,,,,,,,,
2008-05-18,346.425,17.4,10,16.5,26.7,scr,6.093,,,,,,,,,
2008-05-19,346.649,22.4,10,14.6,22.3,scr,5.869,,,,,,,,,
